State_name,FIPS_code,Area_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,State_code
Alabama,01085,Lowndes County,1836.0,4972.0,6835.0,-3136.0,0.2686174103877103,0.7274323335771763,-0.458814923189466,AL
Alabama,01087,Macon County,1541.0,7108.0,8723.0,-5567.0,0.1766594061676029,0.8148572738736674,-0.6381978677060645,AL
Alabama,01089,Madison County,102780.0,87286.0,194767.0,15494.0,0.5277074658438031,0.4481560017867503,0.0795514640570528,AL
Alabama,01091,Marengo County,5343.0,5488.0,10900.0,-145.0,0.4901834862385321,0.50348623853211,-0.0133027522935779,AL
Alabama,01093,Marion County,12205.0,1463.0,13807.0,10742.0,0.8839718983124502,0.105960744549866,0.7780111537625841,AL
Alabama,01095,Marshall County,33191.0,5943.0,39655.0,27248.0,0.8369940738872778,0.1498676081200353,0.6871264657672425,AL
Alabama,01097,Mobile County,101243.0,79474.0,183164.0,21769.0,0.5527450809110961,0.4338953069380445,0.1188497739730515,AL
Alabama,01099,Monroe County,6147.0,4455.0,10668.0,1692.0,0.5762092238470191,0.4176040494938133,0.1586051743532058,AL
Alabama,01101,Montgomery County,33311.0,64529.0,99139.0,-31218.0,0.3360029857069367,0.6508941990538537,-0.314891213346917,AL
Alabama,01103,Morgan County,39664.0,13234.0,53722.0,26430.0,0.7383194966680318,0.2463422806299095,0.4919772160381222,AL
Alabama,01105,Perry County,1339.0,3860.0,5230.0,-2521.0,0.2560229445506692,0.7380497131931166,-0.4820267686424474,AL
Alabama,01107,Pickens County,5594.0,4022.0,9668.0,1572.0,0.5786098469176665,0.4160115846090194,0.162598262308647,AL
Alabama,01109,Pike County,8042.0,5636.0,13841.0,2406.0,0.5810273824145654,0.4071960118488548,0.1738313705657105,AL
Alabama,01111,Randolph County,8559.0,2203.0,10837.0,6356.0,0.7897942234935867,0.2032850419857894,0.5865091815077973,AL
Alabama,01113,Russell County,9864.0,11228.0,21329.0,-1364.0,0.462468939003235,0.5264194289465047,-0.0639504899432696,AL
Alabama,01115,St. Clair County,36166.0,7744.0,44441.0,28422.0,0.8137980693503747,0.1742535046466101,0.6395445647037645,AL
Alabama,01117,Shelby County,79700.0,33268.0,114950.0,46432.0,0.6933449325793823,0.289412788168769,0.4039321444106133,AL
Alabama,01119,Sumter County,1598.0,4648.0,6291.0,-3050.0,0.2540136703226832,0.7388332538547131,-0.4848195835320299,AL
Alabama,01121,Talladega County,22235.0,13138.0,35663.0,9097.0,0.623475310545944,0.3683930123657572,0.2550822981801867,AL
Alabama,01123,Tallapoosa County,14963.0,5859.0,20991.0,9104.0,0.7128293077985803,0.2791196226954409,0.4337096851031394,AL
Alabama,01125,Tuscaloosa County,51117.0,37765.0,90172.0,13352.0,0.566883289712993,0.4188107172958346,0.1480725724171583,AL
Alabama,01127,Walker County,26002.0,4834.0,31170.0,21168.0,0.8341995508501765,0.1550850176451716,0.6791145332050048,AL
Alabama,01129,Washington County,6564.0,2258.0,8876.0,4306.0,0.7395223073456512,0.254393871113114,0.4851284362325371,AL
Alabama,01131,Wilcox County,1833.0,4048.0,5903.0,-2215.0,0.3105200745383703,0.6857530069456209,-0.3752329324072506,AL
Alabama,01133,Winston County,10195.0,974.0,11284.0,9221.0,0.903491669620702,0.086316908897554,0.8171747607231479,AL
Alaska,02901,District 1,3511.0,3477.0,7360.0,34.0,0.4770380434782608,0.4724184782608696,0.0046195652173912,AK
Alaska,02902,District 2,3674.0,2104.0,6161.0,1570.0,0.5963317643239734,0.3415030027592923,0.2548287615646811,AK
Alaska,02903,District 3,6076.0,1903.0,8385.0,4173.0,0.7246273106738224,0.2269528920691711,0.4976744186046512,AK
Alaska,02904,District 4,4690.0,5345.0,10587.0,-655.0,0.4429961273259658,0.5048644564088033,-0.0618683290828374,AK
Alaska,02905,District 5,4077.0,4204.0,8706.0,-127.0,0.4682977257064094,0.4828853664139674,-0.014587640707558,AK
Alaska,02906,District 6,5770.0,3272.0,9518.0,2498.0,0.6062197940743854,0.3437696995167051,0.2624500945576802,AK
Alaska,02907,District 7,7027.0,2215.0,9664.0,4812.0,0.7271316225165563,0.2292011589403973,0.4979304635761589,AK
Alaska,02908,District 8,7618.0,1953.0,9957.0,5665.0,0.7650898865120016,0.1961434166917746,0.568946469820227,AK
Alaska,02909,District 9,7787.0,2769.0,11047.0,5018.0,0.7048972571738934,0.25065628677469,0.4542409703992034,AK
Alaska,02910,District 10,8081.0,2727.0,11256.0,5354.0,0.7179282160625444,0.2422707889125799,0.4756574271499644,AK
Alaska,02911,District 11,7096.0,3130.0,10686.0,3966.0,0.6640464158712334,0.2929066067752199,0.3711398090960134,AK
Alaska,02912,District 12,7893.0,2957.0,11280.0,4936.0,0.6997340425531915,0.2621453900709219,0.4375886524822695,AK
Alaska,02913,District 13,4652.0,2666.0,7765.0,1986.0,0.5990985189954926,0.3433354797166774,0.2557630392788152,AK
Alaska,02914,District 14,6714.0,4261.0,11534.0,2453.0,0.5821050806311774,0.369429512744928,0.2126755678862493,AK
Alaska,02915,District 15,2671.0,2622.0,5593.0,49.0,0.4775612372608618,0.4688002860718755,0.0087609511889862,AK
Alaska,02916,District 16,3516.0,4274.0,8170.0,-758.0,0.4303549571603427,0.5231334149326805,-0.0927784577723377,AK
Alaska,02917,District 17,2810.0,4136.0,7271.0,-1326.0,0.3864667858616421,0.5688350983358548,-0.1823683124742126,AK
Alaska,02918,District 18,2760.0,4681.0,7759.0,-1921.0,0.3557159427761309,0.6032993942518365,-0.2475834514757056,AK
Alaska,02919,District 19,1975.0,3118.0,5338.0,-1143.0,0.3699887598351442,0.5841139003372049,-0.2141251405020606,AK
Alaska,02920,District 20,2383.0,4881.0,7544.0,-2498.0,0.3158801696712619,0.6470042417815483,-0.3311240721102863,AK
